,Date,Close
247,2021-09-05,232.2
248,2021-09-06,219.4
249,2021-09-07,178.5
250,2021-09-08,179.7
251,2021-09-09,180.5
252,2021-09-10,174.1
253,2021-09-11,178.6
254,2021-09-12,183.0
255,2021-09-13,179.4
256,2021-09-14,183.1
257,2021-09-15,189.0
258,2021-09-16,185.2
259,2021-09-17,180.0
260,2021-09-18,181.4
261,2021-09-19,175.6
262,2021-09-20,157.2
263,2021-09-21,148.5
264,2021-09-22,161.4
265,2021-09-23,163.9
266,2021-09-24,152.1
267,2021-09-25,151.0
268,2021-09-26,150.7
269,2021-09-27,145.0
270,2021-09-28,140.6
271,2021-09-29,144.7
272,2021-09-30,153.3
273,2021-10-01,166.2
274,2021-10-02,168.9
275,2021-10-03,170.5
276,2021-10-04,167.5
277,2021-10-05,173.8
278,2021-10-06,178.5
279,2021-10-07,178.6
280,2021-10-08,175.9
281,2021-10-09,179.9
282,2021-10-10,174.8
283,2021-10-11,179.1
284,2021-10-12,172.6
285,2021-10-13,177.6
286,2021-10-14,181.3
287,2021-10-15,189.6
288,2021-10-16,186.0
289,2021-10-17,183.7
290,2021-10-18,185.6
291,2021-10-19,188.8
292,2021-10-20,207.3
293,2021-10-21,196.8
294,2021-10-22,191.0
295,2021-10-23,196.3
296,2021-10-24,190.4
297,2021-10-25,195.5
298,2021-10-26,197.6
299,2021-10-27,179.3
300,2021-10-28,189.8
301,2021-10-29,196.7
302,2021-10-30,190.2
303,2021-10-31,191.9
304,2021-11-01,197.6
305,2021-11-02,200.9
306,2021-11-03,207.3
307,2021-11-04,202.6
308,2021-11-05,198.9
309,2021-11-06,197.6
310,2021-11-07,202.0
311,2021-11-08,229.0
312,2021-11-09,262.0
313,2021-11-10,260.4
314,2021-11-11,262.3
315,2021-11-12,251.2
316,2021-11-13,257.7
317,2021-11-14,279.3
318,2021-11-15,263.0
319,2021-11-16,230.2
320,2021-11-17,229.6
321,2021-11-18,204.2
322,2021-11-19,217.9
323,2021-11-20,226.8
324,2021-11-21,221.1
325,2021-11-22,209.1
326,2021-11-23,216.2
327,2021-11-24,212.2
328,2021-11-25,222.9
329,2021-11-26,195.7
